date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2023-08-11T19:00:00Z,1,Burnley,Man City,0,3,0,2,3,Man City,Burnley,Craig Pawson
2023-08-12T12:00:00Z,1,Arsenal,Nottingham,2,1,2,0,1,Arsenal,Nottingham,Michael Oliver
2023-08-12T14:00:00Z,1,Bournemouth,West Ham,1,1,0,0,0,DRAW,DRAW,Peter Bankes
2023-08-12T14:00:00Z,1,Brighton Hove,Luton Town,4,1,1,0,3,Brighton Hove,Luton Town,David Coote
2023-08-12T14:00:00Z,1,Everton,Fulham,0,1,0,0,1,Fulham,Everton,Stuart Attwell
2023-08-12T14:00:00Z,1,Sheffield Utd,Crystal Palace,0,1,0,0,1,Crystal Palace,Sheffield Utd,John Brooks
2023-08-12T16:30:00Z,1,Newcastle,Aston Villa,5,1,2,1,4,Newcastle,Aston Villa,Andy Madley
2023-08-13T13:00:00Z,1,Brentford,Tottenham,2,2,2,2,0,DRAW,DRAW,Robert Jones
2023-08-13T15:30:00Z,1,Chelsea,Liverpool,1,1,1,1,0,DRAW,DRAW,Anthony Taylor
2023-08-14T19:00:00Z,1,Man United,Wolverhampton,1,0,0,0,1,Man United,Wolverhampton,Simon Hooper
2023-08-18T18:45:00Z,2,Nottingham,Sheffield Utd,2,1,1,0,1,Nottingham,Sheffield Utd,Peter Bankes
2023-08-19T14:00:00Z,2,Fulham,Brentford,0,3,0,1,3,Brentford,Fulham,Darren Bond
2023-08-19T14:00:00Z,2,Liverpool,Bournemouth,3,1,2,1,2,Liverpool,Bournemouth,Thomas Bramall
2023-08-19T14:00:00Z,2,Wolverhampton,Brighton Hove,1,4,0,1,3,Brighton Hove,Wolverhampton,Andy Madley
2023-08-19T16:30:00Z,2,Tottenham,Man United,2,0,0,0,2,Tottenham,Man United,Michael Oliver
2023-08-19T19:00:00Z,2,Man City,Newcastle,1,0,1,0,1,Man City,Newcastle,Robert Jones
2023-08-20T13:00:00Z,2,Aston Villa,Everton,4,0,2,0,4,Aston Villa,Everton,Anthony Taylor
2023-08-20T15:30:00Z,2,West Ham,Chelsea,3,1,1,1,2,West Ham,Chelsea,John Brooks
2023-08-21T19:00:00Z,2,Crystal Palace,Arsenal,0,1,0,0,1,Arsenal,Crystal Palace,David Coote
2023-08-25T19:00:00Z,3,Chelsea,Luton Town,3,0,1,0,3,Chelsea,Luton Town,Robert Jones
2023-08-26T11:30:00Z,3,Bournemouth,Tottenham,0,2,0,1,2,Tottenham,Bournemouth,Tim Robinson
2023-08-26T14:00:00Z,3,Everton,Wolverhampton,0,1,0,0,1,Wolverhampton,Everton,Craig Pawson
2023-08-26T14:00:00Z,3,Man United,Nottingham,3,2,1,2,1,Man United,Nottingham,Stuart Attwell
2023-08-26T14:00:00Z,3,Arsenal,Fulham,2,2,0,1,0,DRAW,DRAW,Paul Tierney
2023-08-26T14:00:00Z,3,Brentford,Crystal Palace,1,1,1,0,0,DRAW,DRAW,Peter Bankes
2023-08-26T16:30:00Z,3,Brighton Hove,West Ham,1,3,0,1,2,West Ham,Brighton Hove,Anthony Taylor
2023-08-27T13:00:00Z,3,Sheffield Utd,Man City,1,2,0,0,1,Man City,Sheffield Utd,Jarred Gillett
2023-08-27T13:00:00Z,3,Burnley,Aston Villa,1,3,0,2,2,Aston Villa,Burnley,Michael Salisbury
2023-08-27T15:30:00Z,3,Newcastle,Liverpool,1,2,1,0,1,Liverpool,Newcastle,John Brooks
2023-09-01T19:00:00Z,4,Luton Town,West Ham,1,2,0,1,1,West Ham,Luton Town,Paul Tierney
2023-09-02T11:30:00Z,4,Sheffield Utd,Everton,2,2,2,1,0,DRAW,DRAW,Andy Madley
2023-09-02T14:00:00Z,4,Brentford,Bournemouth,2,2,1,1,0,DRAW,DRAW,Bobby Madley
2023-09-02T14:00:00Z,4,Burnley,Tottenham,2,5,1,2,3,Tottenham,Burnley,Darren England
2023-09-02T14:00:00Z,4,Chelsea,Nottingham,0,1,0,0,1,Nottingham,Chelsea,Tim Robinson
2023-09-02T14:00:00Z,4,Man City,Fulham,5,1,2,1,4,Man City,Fulham,Michael Oliver
2023-09-02T16:30:00Z,4,Brighton Hove,Newcastle,3,1,1,0,2,Brighton Hove,Newcastle,Stuart Attwell
2023-09-03T13:00:00Z,4,Crystal Palace,Wolverhampton,3,2,0,0,1,Crystal Palace,Wolverhampton,Robert Jones
2023-09-03T13:00:00Z,4,Liverpool,Aston Villa,3,0,2,0,3,Liverpool,Aston Villa,Simon Hooper
2023-09-03T15:30:00Z,4,Arsenal,Man United,3,1,1,1,2,Arsenal,Man United,Anthony Taylor
2023-09-16T11:30:00Z,5,Wolverhampton,Liverpool,1,3,1,0,2,Liverpool,Wolverhampton,Michael Oliver
2023-09-16T14:00:00Z,5,Aston Villa,Crystal Palace,3,1,0,0,2,Aston Villa,Crystal Palace,Darren England
2023-09-16T14:00:00Z,5,Fulham,Luton Town,1,0,0,0,1,Fulham,Luton Town,Michael Salisbury
2023-09-16T14:00:00Z,5,Man United,Brighton Hove,1,3,0,1,2,Brighton Hove,Man United,Jarred Gillett
2023-09-16T14:00:00Z,5,Tottenham,Sheffield Utd,2,1,0,0,1,Tottenham,Sheffield Utd,Peter Bankes
2023-09-16T14:00:00Z,5,West Ham,Man City,1,3,1,0,2,Man City,West Ham,Andy Madley
2023-09-16T16:30:00Z,5,Newcastle,Brentford,1,0,0,0,1,Newcastle,Brentford,Craig Pawson
2023-09-17T13:00:00Z,5,Bournemouth,Chelsea,0,0,0,0,0,DRAW,DRAW,David Coote
2023-09-17T15:30:00Z,5,Everton,Arsenal,0,1,0,0,1,Arsenal,Everton,Simon Hooper
2023-09-18T18:45:00Z,5,Nottingham,Burnley,1,1,0,1,0,DRAW,DRAW,Robert Jones
2023-09-23T14:00:00Z,6,Crystal Palace,Fulham,0,0,0,0,0,DRAW,DRAW,Paul Tierney
2023-09-23T14:00:00Z,6,Luton Town,Wolverhampton,1,1,0,0,0,DRAW,DRAW,Josh Smith
2023-09-23T14:00:00Z,6,Man City,Nottingham,2,0,2,0,2,Man City,Nottingham,Anthony Taylor
2023-09-23T16:30:00Z,6,Brentford,Everton,1,3,1,1,2,Everton,Brentford,Michael Oliver
2023-09-23T19:00:00Z,6,Burnley,Man United,0,1,0,1,1,Man United,Burnley,Tony Harrington
2023-09-24T13:00:00Z,6,Arsenal,Tottenham,2,2,1,1,0,DRAW,DRAW,Robert Jones
2023-09-24T13:00:00Z,6,Brighton Hove,Bournemouth,3,1,1,1,2,Brighton Hove,Bournemouth,John Brooks
2023-09-24T13:00:00Z,6,Chelsea,Aston Villa,0,1,0,0,1,Aston Villa,Chelsea,Jarred Gillett
2023-09-24T13:00:00Z,6,Liverpool,West Ham,3,1,1,1,2,Liverpool,West Ham,Chris Kavanagh
2023-09-24T15:30:00Z,6,Sheffield Utd,Newcastle,0,8,0,3,8,Newcastle,Sheffield Utd,Stuart Attwell
2023-09-30T11:30:00Z,7,Aston Villa,Brighton Hove,6,1,3,0,5,Aston Villa,Brighton Hove,Andy Madley
2023-09-30T14:00:00Z,7,Bournemouth,Arsenal,0,4,0,2,4,Arsenal,Bournemouth,Michael Salisbury
2023-09-30T14:00:00Z,7,Everton,Luton Town,1,2,1,2,1,Luton Town,Everton,Anthony Taylor
2023-09-30T14:00:00Z,7,Man United,Crystal Palace,0,1,0,1,1,Crystal Palace,Man United,Chris Kavanagh
2023-09-30T14:00:00Z,7,Newcastle,Burnley,2,0,1,0,2,Newcastle,Burnley,Thomas Bramall
2023-09-30T14:00:00Z,7,West Ham,Sheffield Utd,2,0,2,0,2,West Ham,Sheffield Utd,Graham Scott
2023-09-30T14:00:00Z,7,Wolverhampton,Man City,2,1,1,0,1,Wolverhampton,Man City,Craig Pawson
2023-09-30T16:30:00Z,7,Tottenham,Liverpool,2,1,1,1,1,Tottenham,Liverpool,Simon Hooper
2023-10-01T13:00:00Z,7,Nottingham,Brentford,1,1,0,0,0,DRAW,DRAW,Paul Tierney
2023-10-02T19:00:00Z,7,Fulham,Chelsea,0,2,0,2,2,Chelsea,Fulham,Tim Robinson
2023-10-03T18:30:00Z,2,Luton Town,Burnley,1,2,0,1,1,Burnley,Luton Town,Peter Bankes
2023-10-07T11:30:00Z,8,Luton Town,Tottenham,0,1,0,0,1,Tottenham,Luton Town,John Brooks
2023-10-07T14:00:00Z,8,Burnley,Chelsea,1,4,1,1,3,Chelsea,Burnley,Stuart Attwell
2023-10-07T14:00:00Z,8,Everton,Bournemouth,3,0,2,0,3,Everton,Bournemouth,David Coote
2023-10-07T14:00:00Z,8,Fulham,Sheffield Utd,3,1,0,0,2,Fulham,Sheffield Utd,Sam Barrott
2023-10-07T14:00:00Z,8,Man United,Brentford,2,1,0,1,1,Man United,Brentford,Bobby Madley
2023-10-07T16:30:00Z,8,Crystal Palace,Nottingham,0,0,0,0,0,DRAW,DRAW,Craig Pawson
2023-10-08T13:00:00Z,8,Brighton Hove,Liverpool,2,2,1,2,0,DRAW,DRAW,Anthony Taylor
2023-10-08T13:00:00Z,8,West Ham,Newcastle,2,2,1,0,0,DRAW,DRAW,Peter Bankes
2023-10-08T13:00:00Z,8,Wolverhampton,Aston Villa,1,1,0,0,0,DRAW,DRAW,Robert Jones
2023-10-08T15:30:00Z,8,Arsenal,Man City,1,0,0,0,1,Arsenal,Man City,Michael Oliver
2023-10-21T11:30:00Z,9,Liverpool,Everton,2,0,0,0,2,Liverpool,Everton,Craig Pawson
2023-10-21T14:00:00Z,9,Bournemouth,Wolverhampton,1,2,1,0,1,Wolverhampton,Bournemouth,Paul Tierney
2023-10-21T14:00:00Z,9,Brentford,Burnley,3,0,1,0,3,Brentford,Burnley,Josh Smith
2023-10-21T14:00:00Z,9,Man City,Brighton Hove,2,1,2,0,1,Man City,Brighton Hove,Robert Jones
2023-10-21T14:00:00Z,9,Newcastle,Crystal Palace,4,0,3,0,4,Newcastle,Crystal Palace,Tim Robinson
2023-10-21T14:00:00Z,9,Nottingham,Luton Town,2,2,0,0,0,DRAW,DRAW,Sam Barrott
2023-10-21T16:30:00Z,9,Chelsea,Arsenal,2,2,1,0,0,DRAW,DRAW,Chris Kavanagh
2023-10-21T19:00:00Z,9,Sheffield Utd,Man United,1,2,1,1,1,Man United,Sheffield Utd,Michael Oliver
2023-10-22T15:30:00Z,9,Aston Villa,West Ham,4,1,1,0,3,Aston Villa,West Ham,David Coote
2023-10-23T19:00:00Z,9,Tottenham,Fulham,2,0,1,0,2,Tottenham,Fulham,Anthony Taylor
2023-10-27T19:00:00Z,10,Crystal Palace,Tottenham,1,2,0,0,1,Tottenham,Crystal Palace,Andy Madley
2023-10-28T11:30:00Z,10,Chelsea,Brentford,0,2,0,0,2,Brentford,Chelsea,Simon Hooper
2023-10-28T14:00:00Z,10,Bournemouth,Burnley,2,1,1,1,1,Bournemouth,Burnley,Sam Barrott
2023-10-28T14:00:00Z,10,Arsenal,Sheffield Utd,5,0,1,0,5,Arsenal,Sheffield Utd,Tim Robinson
2023-10-28T16:30:00Z,10,Wolverhampton,Newcastle,2,2,1,2,0,DRAW,DRAW,Anthony Taylor
2023-10-29T13:00:00Z,10,West Ham,Everton,0,1,0,0,1,Everton,West Ham,Stuart Attwell
2023-10-29T14:00:00Z,10,Aston Villa,Luton Town,3,1,1,0,2,Aston Villa,Luton Town,John Brooks
2023-10-29T14:00:00Z,10,Brighton Hove,Fulham,1,1,1,0,0,DRAW,DRAW,Michael Salisbury
2023-10-29T14:00:00Z,10,Liverpool,Nottingham,3,0,2,0,3,Liverpool,Nottingham,Chris Kavanagh
2023-10-29T15:30:00Z,10,Man United,Man City,0,3,0,1,3,Man City,Man United,Paul Tierney
2023-11-04T12:30:00Z,11,Fulham,Man United,0,1,0,0,1,Man United,Fulham,John Brooks
2023-11-04T15:00:00Z,11,Brentford,West Ham,3,2,1,2,1,Brentford,West Ham,Thomas Bramall
2023-11-04T15:00:00Z,11,Burnley,Crystal Palace,0,2,0,1,2,Crystal Palace,Burnley,Peter Bankes
2023-11-04T15:00:00Z,11,Everton,Brighton Hove,1,1,1,0,0,DRAW,DRAW,Tim Robinson
2023-11-04T15:00:00Z,11,Man City,Bournemouth,6,1,3,0,5,Man City,Bournemouth,Craig Pawson
2023-11-04T15:00:00Z,11,Sheffield Utd,Wolverhampton,2,1,0,0,1,Sheffield Utd,Wolverhampton,Robert Jones
2023-11-04T17:30:00Z,11,Newcastle,Arsenal,1,0,0,0,1,Newcastle,Arsenal,Stuart Attwell
2023-11-05T14:00:00Z,11,Nottingham,Aston Villa,2,0,1,0,2,Nottingham,Aston Villa,Jarred Gillett
2023-11-05T16:30:00Z,11,Luton Town,Liverpool,1,1,0,0,0,DRAW,DRAW,Andy Madley
2023-11-06T20:00:00Z,11,Tottenham,Chelsea,1,4,1,1,3,Chelsea,Tottenham,Michael Oliver
2023-11-11T12:30:00Z,12,Wolverhampton,Tottenham,2,1,0,1,1,Wolverhampton,Tottenham,Tim Robinson
2023-11-11T15:00:00Z,12,Arsenal,Burnley,3,1,1,0,2,Arsenal,Burnley,Michael Oliver
2023-11-11T15:00:00Z,12,Crystal Palace,Everton,2,3,1,1,1,Everton,Crystal Palace,Sam Barrott
2023-11-11T15:00:00Z,12,Man United,Luton Town,1,0,0,0,1,Man United,Luton Town,Graham Scott
2023-11-11T17:30:00Z,12,Bournemouth,Newcastle,2,0,0,0,2,Bournemouth,Newcastle,Chris Kavanagh
2023-11-12T14:00:00Z,12,Aston Villa,Fulham,3,1,2,0,2,Aston Villa,Fulham,Simon Hooper
2023-11-12T14:00:00Z,12,Brighton Hove,Sheffield Utd,1,1,1,0,0,DRAW,DRAW,John Brooks
2023-11-12T14:00:00Z,12,Liverpool,Brentford,3,0,1,0,3,Liverpool,Brentford,Paul Tierney
2023-11-12T14:00:00Z,12,West Ham,Nottingham,3,2,1,1,1,West Ham,Nottingham,Michael Salisbury
2023-11-12T16:30:00Z,12,Chelsea,Man City,4,4,2,2,0,DRAW,DRAW,Anthony Taylor
2023-11-25T12:30:00Z,13,Man City,Liverpool,1,1,1,0,0,DRAW,DRAW,Chris Kavanagh
2023-11-25T15:00:00Z,13,Burnley,West Ham,1,2,0,0,1,West Ham,Burnley,Sam Barrott
2023-11-25T15:00:00Z,13,Luton Town,Crystal Palace,2,1,0,0,1,Luton Town,Crystal Palace,Jarred Gillett
2023-11-25T15:00:00Z,13,Newcastle,Chelsea,4,1,1,1,3,Newcastle,Chelsea,Simon Hooper
2023-11-25T15:00:00Z,13,Nottingham,Brighton Hove,2,3,1,2,1,Brighton Hove,Nottingham,Anthony Taylor
2023-11-25T15:00:00Z,13,Sheffield Utd,Bournemouth,1,3,0,2,2,Bournemouth,Sheffield Utd,Bobby Madley
2023-11-25T17:30:00Z,13,Brentford,Arsenal,0,1,0,0,1,Arsenal,Brentford,Tim Robinson
2023-11-26T14:00:00Z,13,Tottenham,Aston Villa,1,2,1,1,1,Aston Villa,Tottenham,Robert Jones
2023-11-26T16:30:00Z,13,Everton,Man United,0,3,0,1,3,Man United,Everton,John Brooks
2023-11-27T20:00:00Z,13,Fulham,Wolverhampton,3,2,1,1,1,Fulham,Wolverhampton,Michael Salisbury
2023-12-02T15:00:00Z,14,Arsenal,Wolverhampton,2,1,2,0,1,Arsenal,Wolverhampton,Peter Bankes
2023-12-02T15:00:00Z,14,Brentford,Luton Town,3,1,0,0,2,Brentford,Luton Town,Anthony Taylor
2023-12-02T15:00:00Z,14,Burnley,Sheffield Utd,5,0,2,0,5,Burnley,Sheffield Utd,Chris Kavanagh
2023-12-02T17:30:00Z,14,Nottingham,Everton,0,1,0,0,1,Everton,Nottingham,Paul Tierney
2023-12-02T20:00:00Z,14,Newcastle,Man United,1,0,0,0,1,Newcastle,Man United,Robert Jones
2023-12-03T14:00:00Z,14,Bournemouth,Aston Villa,2,2,1,1,0,DRAW,DRAW,Thomas Bramall
2023-12-03T14:00:00Z,14,Chelsea,Brighton Hove,3,2,2,1,1,Chelsea,Brighton Hove,Craig Pawson
2023-12-03T14:00:00Z,14,Liverpool,Fulham,4,3,2,2,1,Liverpool,Fulham,Stuart Attwell
2023-12-03T14:00:00Z,14,West Ham,Crystal Palace,1,1,1,0,0,DRAW,DRAW,Michael Oliver
2023-12-03T16:30:00Z,14,Man City,Tottenham,3,3,2,1,0,DRAW,DRAW,Simon Hooper
2023-12-05T19:30:00Z,15,Wolverhampton,Burnley,1,0,1,0,1,Wolverhampton,Burnley,Jarred Gillett
2023-12-05T20:15:00Z,15,Luton Town,Arsenal,3,4,1,2,1,Arsenal,Luton Town,Sam Barrott
2023-12-06T19:30:00Z,15,Brighton Hove,Brentford,2,1,1,1,1,Brighton Hove,Brentford,Peter Bankes
2023-12-06T19:30:00Z,15,Fulham,Nottingham,5,0,2,0,5,Fulham,Nottingham,Josh Smith
2023-12-06T19:30:00Z,15,Sheffield Utd,Liverpool,0,2,0,1,2,Liverpool,Sheffield Utd,Simon Hooper
2023-12-06T19:30:00Z,15,Crystal Palace,Bournemouth,0,2,0,1,2,Bournemouth,Crystal Palace,Craig Pawson
2023-12-06T20:15:00Z,15,Aston Villa,Man City,1,0,0,0,1,Aston Villa,Man City,John Brooks
2023-12-06T20:15:00Z,15,Man United,Chelsea,2,1,1,1,1,Man United,Chelsea,Chris Kavanagh
2023-12-07T19:30:00Z,15,Everton,Newcastle,3,0,0,0,3,Everton,Newcastle,Tim Robinson
2023-12-07T20:15:00Z,15,Tottenham,West Ham,1,2,1,0,1,West Ham,Tottenham,Michael Salisbury
2023-12-09T12:30:00Z,16,Crystal Palace,Liverpool,1,2,0,0,1,Liverpool,Crystal Palace,Andy Madley
2023-12-09T15:00:00Z,16,Brighton Hove,Burnley,1,1,0,1,0,DRAW,DRAW,Simon Hooper
2023-12-09T15:00:00Z,16,Man United,Bournemouth,0,3,0,1,3,Bournemouth,Man United,Peter Bankes
2023-12-09T15:00:00Z,16,Sheffield Utd,Brentford,1,0,1,0,1,Sheffield Utd,Brentford,Stuart Attwell
2023-12-09T15:00:00Z,16,Wolverhampton,Nottingham,1,1,1,1,0,DRAW,DRAW,Sam Barrott
2023-12-09T17:30:00Z,16,Aston Villa,Arsenal,1,0,1,0,1,Aston Villa,Arsenal,Jarred Gillett
2023-12-10T14:00:00Z,16,Everton,Chelsea,2,0,0,0,2,Everton,Chelsea,Michael Oliver
2023-12-10T14:00:00Z,16,Fulham,West Ham,5,0,3,0,5,Fulham,West Ham,Paul Tierney
2023-12-10T14:00:00Z,16,Luton Town,Man City,1,2,1,0,1,Man City,Luton Town,Tim Robinson
